MonthDay,mean,sd1,sd1low,sd2,sd2low,Block,MonthDayYear
07-13,484.55,602.7004282015538,366.3995717984462,720.8508564031076,248.24914359689237,2000-2020,2000-07-13
07-14,483.1,608.2958045370699,357.90419546293015,733.4916090741398,232.70839092586024,2000-2020,2000-07-14
07-15,478.9,611.951197110855,345.848802889145,745.0023942217099,212.79760577829006,2000-2020,2000-07-15
07-16,470.1,603.2002392342348,336.99976076576525,736.3004784684696,203.89952153153047,2000-2020,2000-07-16
07-17,461.05,589.0370367613352,333.0629632386648,717.0240735226704,205.0759264773296,2000-2020,2000-07-17
07-18,454.1,582.9760726638702,325.2239273361298,711.8521453277405,196.3478546722596,2000-2020,2000-07-18
07-19,452.05,585.8489359567478,318.2510640432522,719.6478719134956,184.45212808650444,2000-2020,2000-07-19
07-20,450.15,588.4191026109669,311.88089738903307,726.6882052219339,173.6117947780661,2000-2020,2000-07-20
07-21,436.3,570.7697578992157,301.8302421007843,705.2395157984314,167.36048420156862,2000-2020,2000-07-21
07-22,425.95,558.2266140766346,293.67338592336534,690.5032281532693,161.39677184673064,2000-2020,2000-07-22
07-23,416.9,540.767883777753,293.0321162222469,664.6357675555062,169.1642324444938,2000-2020,2000-07-23
07-24,414.75,537.8942778122262,291.60572218777384,661.0385556244523,168.46144437554767,2000-2020,2000-07-24
07-25,406.4,520.3794071890088,292.4205928109911,634.3588143780178,178.44118562198219,2000-2020,2000-07-25
07-26,394.8,501.3574221278195,288.2425778721805,607.914844255639,181.68515574436103,2000-2020,2000-07-26
07-27,386.75,490.7175430122305,282.7824569877695,594.685086024461,178.81491397553899,2000-2020,2000-07-27
07-28,377.6,474.36580518257256,280.8341948174275,571.1316103651451,184.06838963485498,2000-2020,2000-07-28
07-29,369.3,461.39725980265587,277.20274019734416,553.4945196053118,185.10548039468824,2000-2020,2000-07-29
07-30,361.5,452.14766957842875,270.85233042157125,542.7953391568575,180.20466084314248,2000-2020,2000-07-30
07-31,352.35,438.1485860514091,266.55141394859095,523.9471721028183,180.75282789718182,2000-2020,2000-07-31
08-01,343.1,427.42012933176943,258.7798706682306,511.7402586635388,174.45974133646126,2000-2020,2000-08-01
08-02,335.25,414.70132571514927,255.79867428485073,494.15265143029853,176.3473485697015,2000-2020,2000-08-02
08-03,324.7,398.80667986086,250.59332013913996,472.9133597217201,176.4866402782799,2000-2020,2000-08-03
08-04,313.7,383.99868606992516,243.4013139300748,454.2973721398504,173.1026278601496,2000-2020,2000-08-04
08-05,305.05,375.1780595542334,234.9219404457666,445.30611910846676,164.79388089153323,2000-2020,2000-08-05
